City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,pyapon,16.2833,95.6833,19.730000000000018,78,76,0.97,MM,1738023616
66,grand-bassam,5.2118,-3.7388,26.980000000000018,87,7,2.95,CI,1738023618
67,puerto baquerizo moreno,-0.9,-89.6,24.600000000000023,82,85,3.14,EC,1738023619
68,barcelos,41.5388,-8.6151,9.340000000000032,80,73,9.43,PT,1738023620
69,lihue,21.9789,-159.3672,23.189999999999998,69,60,6.45,US,1738023621
70,banda aceh,5.5577,95.3222,25.430000000000007,83,100,3.43,ID,1738023622
71,pombal,-6.7703,-37.8017,26.760000000000048,68,66,3.64,BR,1738023623
72,kasulu,-4.5767,30.1025,17.340000000000032,94,100,0.41,TZ,1738023624
73,georgetown,5.4112,100.3354,26.960000000000036,61,40,2.57,MY,1738023626
74,east london,-33.0153,27.9116,23.340000000000032,89,98,4.16,ZA,1738023627
75,yoichi,43.2039,140.7703,0.4500000000000455,80,100,4.36,JP,1738023628
76,scottburgh,-30.2867,30.7532,21.420000000000016,89,16,2.34,ZA,1738023629
77,hawaiian paradise park,19.5933,-154.9731,25.960000000000036,76,75,5.14,US,1738023630
78,zouerate,22.7187,-12.4521,19.960000000000036,16,0,4.12,MR,1738023631
79,fortuna,40.5982,-124.1573,13.850000000000023,45,0,4.63,US,1738023632
